AIRCRAFT,RENAMED,ACCL,AEM,AMAX,CACCL,CARROP,CATG,CCLIMB,CGFRC,CLIMB,CLRNG,DIVE,DMPIPP,DTRNG,EXPND,FLIR,FMC,GEM,GFRC,INVSB,IRTW,JP,LDELY,LINK16,MAINT,MNFAL,MNMNT,MNRPR,MSOA,ODELY,PBBAD,PBBDA,PBFAL,PBGAB,PBLCH,PBREC,PBRTB,PSILOW,PSILOWPD,PSIMIN,PSINITE,PSINITEPD,PSIRATIO,QMAX,RADTW,RANGE,RCVR,RDELY,REACT,RSURF,SDMNT,SEM,SLTPR,SURVV,SYSFL,TNKR,VCRU,VISTW,VMAX,VMIN,XSECT
EA6B,,75,100,42000,80,YES,JET     ,4000,6.00,2500,2,,1,5,NO ,NO,95.00,100,2.00,NO ,,24000,5,NO ,100,800,200,60,100,30,50.00,50.00,,5.00,,,10.00,,,,,,,550,,3000,DROGUE,60,NO ,IMPROVED,100,100,HIGH,,,NONE,420,,560,90,5
EAV8B,,80,70,50000,120,YES,JET     ,4000,7.50,2500,2,,1,5,YES,NO,95.00,100,2.50,NO ,,12000,5,NO ,100,600,200,25,100,30,50.00,50.00,,5.00,,,10.00,,,,,,,575,,1400,DROGUE,60,YES,UNIMPROVED,100,100,MED,,,NONE,480,,640,0,5
EC130ABC,,60,1,30000,80,NO ,JET     ,3200,4.50,2400,7,,1,15,NO ,NO,95.00,100,1.45,NO ,,32675,10,NO ,100,800,200,50,1000,0,50.00,50.00,,5.00,,,10.00,,,,,,,300,,2500,BOOM,80,NO ,UNIMPROVED,100,100,NONE,,,NONE,300,,360,175,15
EC130CC,,60,1,30000,80,NO ,JET     ,3200,4.50,2400,7,,1,15,NO ,NO,95.00,1,1.45,NO ,,32675,10,NO ,100,800,200,50,1000,0,50.00,50.00,,5.00,,,10.00,,,,,,,300,,2500,BOOM,80,NO ,UNIMPROVED,100,1,NONE,,,NONE,300,,360,120,15
EC130CS,,60,1,30000,80,NO ,JET     ,3200,4.50,2400,7,,1,15,NO ,NO,95.00,1,1.25,NO ,,32675,10,NO ,100,800,200,50,1000,0,5.00,5.00,,5.00,,,5.00,,,,,,,300,,2500,BOOM,80,NO ,UNIMPROVED,100,1,NONE,,,NONE,300,,360,72,15
EC135,,80,1,45000,120,NO ,JET     ,4000,2.50,2500,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,165000,10,NO ,100,800,200,60,1000,0,5.00,5.00,,5.00,,,5.00,,,,,,,350,,6000,BOOM,100,NO ,IMPROVED,100,1,NONE,,,NONE,450,,480,96,20
ECUREUIL,,,1,20000,,YES,JET     ,1000,,1000,3,,1,6,NO ,NO,95.00,100,,NO ,,5400,1,NO ,200,1000,200,50,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,150,,600,NONE,30,NO ,UNIMPROVED,100,100,LOW,,,NONE,120,,150,,5
EF111A,,100,1,50000,150,NO ,JET     ,6000,7.50,3500,2,,1,4,NO ,NO,95.00,1,3.50,NO ,,35000,5,NO ,100,600,200,50,100,0,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3200,BOOM,100,NO ,IMPROVED,100,1,HIGH,,,NONE,540,,1200,200,10
EF2000,,,145,55000,,NO ,JET     ,9000,,9000,2,,1,5,YES,NO,95.00,100,,NO ,,11000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1720,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,900,200,5
EH101,,,1,10000,,YES,JET     ,1000,,1000,3,,1,6,NO ,NO,95.00,100,,NO ,,5400,1,NO ,200,1000,200,50,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,170,,600,NONE,30,NO ,UNIMPROVED,100,100,LOW,,,NONE,150,,170,0,5
EH60A,,,1,10000,,YES,JET     ,1000,,1000,3,,1,6,NO ,NO,95.00,100,,NO ,,5400,1,NO ,100,1000,200,50,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,150,,600,NONE,30,NO ,UNIMPROVED,100,100,LOW,,,NONE,180,,220,44,5
EH60L,,,1,10000,,YES,JET     ,1000,,1000,3,,1,6,YES,NO,95.00,100,,NO ,,5400,1,NO ,100,1000,200,50,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,150,,600,NONE,30,NO ,UNIMPROVED,100,100,NONE,,,NONE,180,,220,200,5
EMB312,,,1,21000,,NO ,JET     ,3000,,3000,5,,1,5,NO ,NO,95.00,1,,NO ,,12400,10,NO ,100,800,200,60,500,0,5.00,5.00,,5.00,,,5.00,,,,,,,245,,2000,NONE,60,NO ,UNIMPROVED,100,1,LOW,,,NONE,172,,245,110,10
EP3,,,1,27000,,NO ,JET     ,3000,,3000,5,,1,10,NO ,YES,95.00,100,,NO ,,99999,10,NO ,100,600,30,20,1000,30,5.00,5.00,,5.00,,,5.00,,,,,,,300,,1000,NONE,30,NO ,IMPROVED,10,100,NONE,,,NONE,285,,375,200,11
EP3E,,,1,27000,,NO ,JET     ,3000,,3000,5,,1,10,NO ,YES,95.00,100,,NO ,,99999,10,NO ,100,600,30,20,1000,30,5.00,5.00,,5.00,,,5.00,,,,,,,300,,1000,NONE,30,NO ,IMPROVED,10,100,NONE,,,NONE,285,,375,0,11
ES3A,,60,100,28300,80,YES,JET     ,5000,4.50,2500,9,,1,12,NO ,NO,95.00,100,2.50,NO ,,57500,10,NO ,200,800,100,50,100,100,50.00,50.00,,5.00,,,10.00,,,,,,,350,,4500,DROGUE,100,NO ,IMPROVED,100,100,MED,,,DROGUE,205,,410,140,10
ETEND4P,,120,100,50000,150,YES,JET     ,6000,8.00,4000,2,,1,5,YES,NO,95.00,100,4.50,NO ,,5200,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1200,DROGUE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,800,90,5
F-5,,,60,40000,,NO ,JET     ,5000,,5000,4,,1,7,YES,NO,95.00,100,,NO ,,7370,3,NO ,100,600,200,25,500,15,5.00,5.00,,5.00,,,5.00,,,,,,,550,,600,NONE,60,YES,UNIMPROVED,100,100,MED,,,NONE,420,,570,114,10
F-6,,,60,50000,,NO ,JET     ,6000,,6000,4,,1,7,YES,NO,95.00,100,,NO ,,3300,1,NO ,100,450,200,50,500,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1100,NONE,60,YES,UNIMPROVED,150,100,MED,,,NONE,480,,900,200,3
F104G,,,90,58000,,NO ,JET     ,9000,,9000,2,,1,5,YES,NO,95.00,100,,NO ,,6793,5,NO ,100,450,200,50,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1600,NONE,60,YES,IMPROVED,150,100,MED,,,NONE,540,,1260,200,5
F104S,,,95,50000,,NO ,JET     ,10000,,10000,3,,1,6,YES,NO,95.00,100,,NO ,,9000,3,NO ,100,450,200,50,300,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1600,NONE,60,YES,IMPROVED,150,100,MED,,,NONE,510,,1400,,2
F111D,,,75,40000,,NO ,JET     ,6000,,6000,2,,1,5,NO ,NO,95.00,100,,NO ,,32000,5,NO ,100,600,200,50,100,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3200,NONE,100,NO ,IMPROVED,100,100,MED,,,NONE,540,,1200,0,10
F111E,,,75,40000,,NO ,JET     ,6000,,6000,2,,1,5,NO ,NO,95.00,100,,NO ,,32000,5,NO ,100,600,200,50,100,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3200,NONE,100,NO ,IMPROVED,100,100,MED,,,NONE,540,,1200,200,10
F111F,,100,75,40000,140,NO ,JET     ,6000,7.50,4000,2,,1,5,NO ,NO,95.00,100,4.50,NO ,,32000,5,NO ,100,600,200,50,100,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3200,BOOM,100,NO ,IMPROVED,100,100,MED,,,NONE,540,,1200,200,10
F117A,,80,100,35000,100,NO ,JET     ,2500,7.50,1500,1,,1,1,NO ,YES,95.00,200,4.00,YES,,20000,5,NO ,100,600,200,25,100,30,50.00,50.00,,5.00,,,10.00,,,,,,,600,,2000,BOOM,60,NO ,IMPROVED,100,100,HIGH,,,NONE,600,,600,200,0
F14A,,100,145,50000,120,YES,JET     ,8000,8.50,6000,2,,1,5,YES,NO,95.00,100,4.00,NO ,,20000,5,NO ,100,600,200,25,100,30,50.00,50.00,,5.00,,,10.00,,,,,,,550,,1600,DROGUE,60,YES,IMPROVED,100,100,MED,,,NONE,510,,1000,120,5
F14B,,100,145,50000,120,YES,JET     ,8000,8.50,6000,2,,1,5,YES,NO,95.00,100,4.00,NO ,,20000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1600,DROGUE,60,YES,IMPROVED,100,100,MED,,,NONE,510,,1000,90,5
F14D,,100,150,50000,120,YES,JET     ,8000,8.50,6000,2,,1,5,YES,NO,95.00,100,4.00,NO ,,20000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1600,DROGUE,60,YES,IMPROVED,100,100,MED,,,NONE,510,,1000,200,5
F15A,,150,145,50000,250,NO ,JET     ,15000,9.00,8000,2,,1,5,YES,NO,95.00,100,4.50,NO ,,17300,3,NO ,100,600,200,25,300,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,2000,BOOM,60,YES,IMPROVED,100,100,MED,,,NONE,510,,1000,200,5
F15B,,,145,50000,,NO ,JET     ,10000,,10000,2,,1,5,YES,NO,95.00,100,,NO ,,17300,3,NO ,100,600,200,25,300,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,2000,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,510,,1000,200,5
F15C,,400,150,50000,500,NO ,JET     ,15000,9.00,6000,2,,2,5,YES,NO,95.00,100,4.50,NO ,.9,17300,3,NO ,100,600,200,25,100,30,50.00,50.00,,5.00,,,10.00,30.00,5.00,65.00,20.00,5.00,75.00,550,.9,2000,BOOM,60,YES,IMPROVED,100,100,MED,.9,,NONE,510,.7,1000,120,5
F15D,,,150,50000,,NO ,JET     ,10000,,10000,2,,1,5,YES,NO,95.00,100,,NO ,,17300,3,NO ,100,600,200,25,300,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,2000,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,510,,1000,0,5
F15E,,200,140,50000,300,NO ,JET     ,12000,7.50,6500,2,,2,5,NO ,YES,95.00,200,4.00,NO ,,17300,5,NO ,100,600,200,25,100,30,50.00,50.00,,5.00,,,10.00,,,,,,,550,,2400,BOOM,60,YES,IMPROVED,100,200,MED,,,NONE,510,,1000,200,5
F15J,,120,145,50000,150,NO ,JET     ,10000,8.00,6000,2,,1,5,YES,NO,95.00,100,4.00,NO ,,17300,3,NO ,100,600,200,25,300,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,2000,BOOM,60,YES,IMPROVED,100,100,MED,,,NONE,510,,1000,200,5
F15S,,,140,50000,,NO ,JET     ,10000,,10000,2,,1,5,NO ,NO,95.00,200,,NO ,,17300,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,2000,NONE,60,YES,IMPROVED,100,200,MED,,,NONE,510,,1000,200,5
F16A,,200,135,50000,300,NO ,JET     ,10000,9.00,8000,2,,1,5,YES,NO,95.00,100,4.50,NO ,,10800,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1600,BOOM,60,YES,IMPROVED,100,100,MED,,,NONE,510,,900,80,5
F16AM,,,135,50000,,NO ,JET     ,10000,,10000,2,,1,5,YES,NO,95.00,100,,NO ,,10800,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1600,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,510,,900,0,5
F16AR,,,135,50000,,NO ,JET     ,10000,,10000,2,,1,5,YES,NO,95.00,100,,NO ,,10800,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1700,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,510,,900,180,5
F16B,,,135,50000,,NO ,JET     ,10000,,10000,2,,1,5,YES,NO,95.00,100,,NO ,,10800,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1600,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,510,,900,200,5
F16C,,450,140,50000,750,NO ,JET     ,10000,10.00,6000,2,,1,5,NO ,NO,95.00,100,6.00,NO ,,10800,3,NO ,100,600,200,25,100,30,50.00,50.00,,5.00,,,10.00,,,,,,,550,,1600,BOOM,60,YES,IMPROVED,100,100,MED,,,NONE,510,,900,200,5
F16CG,,,140,50000,,NO ,JET     ,10000,,10000,2,,1,5,NO ,NO,95.00,100,,NO ,,10800,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1600,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,510,,900,,5
F16CJ,,400,140,50000,500,NO ,JET     ,10000,9.00,8000,2,,1,5,NO ,YES,95.00,100,4.50,NO ,,10800,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1600,BOOM,60,YES,IMPROVED,100,100,MED,,,NONE,510,,900,90,5
F16CLN,,,140,50000,,NO ,JET     ,10000,,10000,2,,1,5,NO ,YES,95.00,100,,NO ,,10800,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1600,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,510,,900,180,5
F16D,,,140,50000,,NO ,JET     ,10000,,10000,2,,1,5,YES,NO,95.00,100,,NO ,,10800,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1600,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,510,,900,200,5
F1B,,,100,50000,,NO ,JET     ,7000,,7000,2,,1,5,YES,NO,95.00,100,,NO ,,10500,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1175,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,800,200,5
F1C,,120,130,50000,180,NO ,JET     ,7000,7.50,5000,2,,1,5,YES,NO,95.00,100,3.50,NO ,,10500,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1175,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,800,120,5
F1CR,,120,100,50000,150,NO ,JET     ,7000,7.50,5000,2,,1,5,YES,NO,95.00,100,3.50,NO ,,10500,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1175,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,800,120,5
F1CT,,120,130,50000,150,NO ,JET     ,7000,7.50,5000,2,,1,5,YES,NO,95.00,100,3.50,NO ,,10500,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1175,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,800,160,5
F1E,,,100,50000,,NO ,JET     ,7000,,7000,2,,1,5,YES,NO,95.00,100,,NO ,,10500,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1175,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,800,200,5
F1J,,150,100,50000,180,NO ,JET     ,7000,7.50,5000,2,,1,5,YES,NO,95.00,100,4.50,NO ,,10500,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1175,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,800,200,5
F22A,,300,200,50000,400,NO ,JET     ,12000,9.00,8000,2,,1,5,NO ,NO,95.00,200,5.50,YES,,17300,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,8000,BOOM,60,YES,IMPROVED,100,200,HIGH,,,NONE,510,,1500,90,5
F35A,,200,200,50000,300,NO ,JET     ,10000,9.00,6000,2,,1,5,NO ,NO,95.00,200,5.50,YES,,17300,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,8000,BOOM,60,YES,IMPROVED,100,200,HIGH,,,NONE,510,,1500,90,5
F35DRAKN,,,95,40000,,NO ,JET     ,10000,,10000,4,,1,10,YES,NO,95.00,100,,NO ,,10500,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1300,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,730,146,4
F4C,,,95,45000,,NO ,JET     ,7000,,7000,2,,1,5,YES,NO,95.00,100,,NO ,,17000,5,NO ,100,450,200,50,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1400,NONE,60,YES,IMPROVED,150,100,MED,,,NONE,480,,1000,200,5
F4D,,150,95,45000,180,NO ,JET     ,7000,7.50,4000,2,,1,5,YES,NO,95.00,100,4.50,NO ,,17000,5,NO ,100,600,200,25,100,30,50.00,50.00,,5.00,,,10.00,,,,,,,550,,1400,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,1000,200,5
F4E,,150,100,45000,180,NO ,JET     ,7000,7.50,5000,2,,1,5,YES,NO,95.00,100,4.50,NO ,,17000,5,NO ,100,600,200,25,100,30,50.00,50.00,,5.00,,,10.00,,,,,,,550,,1400,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,1000,145,5
F4EJ,,150,100,45000,180,NO ,JET     ,7000,7.50,5000,2,,1,5,YES,NO,95.00,100,4.00,NO ,,17000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1400,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,1000,150,5
F4F,,150,101,45000,180,NO ,JET     ,7000,7.50,5000,2,,1,5,YES,NO,95.00,100,4.00,NO ,,17000,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1400,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,1000,200,5
F4G,,150,100,45000,180,NO ,JET     ,7000,7.50,5000,2,,1,5,YES,NO,95.00,100,4.00,NO ,,17000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1400,NONE,60,YES,IMPROVED,100,200,HIGH,,,NONE,480,,1000,200,5
F5A,,,75,50000,,NO ,JET     ,10000,,10000,2,,1,5,YES,NO,95.00,100,,NO ,,5200,5,NO ,100,600,200,25,100,25,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1000,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,400,,710,200,4
F5E,,120,95,50000,150,NO ,JET     ,6000,8.00,4000,2,,1,5,YES,NO,95.00,100,4.50,NO ,,5200,3,NO ,100,600,200,25,100,30,50.00,50.00,,5.00,,,10.00,,,,,,,550,,1200,BOOM,60,YES,IMPROVED,100,100,MED,,,NONE,480,,800,120,5
F5J,,120,75,50000,150,NO ,JET     ,6000,8.00,4000,2,,1,5,YES,NO,95.00,100,4.50,NO ,,5200,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1200,BOOM,60,YES,IMPROVED,100,100,MED,,,NONE,480,,800,90,5
F6,,,60,60000,,NO ,JET     ,10000,,10000,2,,1,5,YES,NO,95.00,100,,NO ,,10000,5,NO ,100,600,200,25,500,35,5.00,5.00,,5.00,,,5.00,,,,,,,550,,600,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,400,,900,180,4
F7,,,80,50000,,NO ,JET     ,6000,,6000,4,,1,7,YES,NO,95.00,100,,NO ,,3300,3,NO ,100,450,200,50,500,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1100,NONE,60,YES,IMPROVED,150,100,MED,,,NONE,480,,900,200,5
F8E,,80,90,50000,120,YES,JET     ,6000,7.50,4000,2,,1,5,YES,NO,95.00,100,3.50,NO ,,5200,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1200,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,800,200,5
FA18A,,400,145,50000,600,YES,JET     ,10000,9.00,6000,2,,1,5,YES,NO,95.00,100,5.50,NO ,,14000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1400,DROGUE,60,YES,IMPROVED,100,100,MED,,,DROGUE,480,,900,90,5
FA18B,,400,145,50000,600,YES,JET     ,10000,9.00,6000,2,,1,5,YES,NO,95.00,100,5.50,NO ,,14000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1400,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,900,120,5
FA18C,,400,145,50000,600,YES,JET     ,10000,9.00,6000,2,,1,5,NO ,NO,95.00,100,5.50,NO ,,14000,5,NO ,100,600,200,25,100,30,50.00,50.00,,5.00,,,10.00,,,,,,,550,,1400,DROGUE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,900,180,5
FA18D,,300,145,50000,600,YES,JET     ,10000,9.00,6000,2,,1,5,NO ,NO,95.00,100,5.50,NO ,,14000,5,NO ,100,600,200,25,100,30,50.00,50.00,,5.00,,,10.00,,,,,,,550,,1400,DROGUE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,900,200,5
FA18E,,300,145,50000,450,YES,JET     ,9000,8.00,4500,2,,1,5,NO ,NO,95.00,100,4.00,NO ,,14000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1400,DROGUE,60,YES,IMPROVED,100,100,MED,,,DROGUE,480,,900,200,5
FA18F,,300,145,50000,450,YES,JET     ,9000,8.00,4500,2,,1,5,NO ,NO,95.00,100,4.00,NO ,,14000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1400,DROGUE,60,YES,IMPROVED,100,100,MED,,,DROGUE,480,,900,120,5
FAGOTC,,120,75,51000,150,NO ,JET     ,6000,7.50,4000,4,,1,7,YES,NO,95.00,100,3.50,NO ,,1900,3,NO ,100,450,200,50,500,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,450,NONE,60,YES,UNIMPROVED,150,100,MED,,,NONE,480,,670,120,5
FAMK2,,90,70,50000,120,YES,JET     ,3000,7.50,2500,2,,1,5,YES,NO,95.00,100,2.50,NO ,,12000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,575,,1400,NONE,60,YES,UNIMPROVED,100,100,MED,,,NONE,480,,640,0,5
FARMERD,,120,60,50000,180,NO ,JET     ,6000,7.50,4000,4,,1,7,YES,NO,95.00,100,3.50,NO ,,3300,1,NO ,100,450,200,50,500,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1100,NONE,60,YES,UNIMPROVED,150,100,MED,,,NONE,480,,900,180,3
FARMERF,,120,60,50000,180,NO ,JET     ,6000,7.50,4000,4,,1,7,YES,NO,95.00,100,3.50,NO ,,3300,1,NO ,100,450,200,50,500,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1100,NONE,60,YES,UNIMPROVED,150,100,MED,,,NONE,480,,900,200,3
FB111,,,75,40000,,NO ,JET     ,6000,,6000,2,,1,5,NO ,NO,95.00,100,,NO ,,32000,5,NO ,100,600,200,50,100,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,3200,NONE,100,NO ,IMPROVED,100,100,MED,,,NONE,540,,1200,200,10
FENCERB,,,80,50000,,NO ,JET     ,6000,,6000,2,,1,5,NO ,YES,95.00,100,,NO ,,14500,5,NO ,100,600,200,50,500,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,2035,NONE,100,NO ,IMPROVED,100,100,MED,,,NONE,540,,1000,,10
FENCERC,,120,80,50000,150,NO ,JET     ,6000,7.50,4000,2,,1,5,NO ,YES,95.00,100,3.50,NO ,,14500,5,NO ,100,600,200,50,500,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,2035,NONE,100,NO ,IMPROVED,100,100,MED,,,NONE,540,,1000,150,10
FENCERD,,200,80,50000,300,NO ,JET     ,6000,8.00,4000,2,,1,5,NO ,YES,95.00,100,4.00,NO ,,14500,5,NO ,100,600,200,50,500,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,2035,DROGUE,100,NO ,IMPROVED,100,100,MED,,,NONE,540,,1000,200,10
FENCERE,,,80,50000,,NO ,JET     ,6000,,6000,2,,1,5,NO ,YES,95.00,100,,NO ,,14100,5,NO ,100,600,200,50,500,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,2035,NONE,100,NO ,IMPROVED,100,100,MED,,,NONE,540,,1000,200,10
FENCERF,,,80,50000,,NO ,JET     ,6000,,6000,2,,1,5,NO ,YES,95.00,100,,NO ,,14100,5,NO ,100,600,200,50,500,100,5.00,5.00,,5.00,,,5.00,,,,,,,550,,2035,NONE,100,NO ,IMPROVED,100,100,MED,,,NONE,540,,1000,200,10
FISHBDJX,,,90,50000,,NO ,JET     ,6000,,6000,4,,1,7,YES,NO,95.00,100,,NO ,,3300,3,NO ,100,450,200,50,500,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1100,NONE,60,YES,UNIMPROVED,150,100,MED,,,NONE,480,,900,,5
FISHBEDC,,100,90,50000,120,NO ,JET     ,6000,7.50,4000,4,,1,7,YES,NO,95.00,100,3.50,NO ,,3300,3,NO ,100,450,200,50,500,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1100,NONE,60,YES,UNIMPROVED,150,100,MED,,,NONE,480,,900,120,5
FISHBEDD,,,90,50000,,NO ,JET     ,6000,,6000,4,,1,7,YES,NO,95.00,100,,NO ,,3300,3,NO ,100,450,200,50,500,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1100,NONE,60,YES,UNIMPROVED,150,100,MED,,,NONE,480,,900,180,5
FISHBEDF,,,90,50000,,NO ,JET     ,6000,,6000,4,,1,7,YES,NO,95.00,100,,NO ,,3300,3,NO ,100,450,200,50,500,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1100,NONE,60,YES,UNIMPROVED,150,100,MED,,,NONE,480,,900,200,5
FISHBEDH,,,90,50000,,NO ,JET     ,6000,,6000,4,,1,7,YES,NO,95.00,100,,NO ,,3300,3,NO ,100,450,200,50,500,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1100,NONE,60,YES,UNIMPROVED,150,100,MED,,,NONE,480,,900,200,5
FISHBEDJ,,200,90,50000,300,NO ,JET     ,6000,7.50,4000,4,,1,7,YES,NO,95.00,100,3.50,NO ,,3300,3,NO ,100,450,200,50,500,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1100,NONE,60,YES,UNIMPROVED,150,100,MED,,,NONE,480,,900,120,5
FISHBEDK,,200,90,50000,300,NO ,JET     ,6000,7.50,4000,4,,1,7,YES,NO,95.00,100,3.50,NO ,,3300,3,NO ,100,450,200,50,500,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1100,NONE,60,YES,UNIMPROVED,150,100,MED,,,NONE,480,,900,120,5
FISHBEDL,,200,90,50000,300,NO ,JET     ,6000,7.50,400,4,,1,7,YES,NO,95.00,100,3.50,NO ,,3300,3,NO ,100,450,200,50,500,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1100,NONE,60,YES,UNIMPROVED,150,100,MED,,,NONE,480,,900,180,5
FISHBEDN,,200,90,50000,300,NO ,JET     ,6000,7.50,4000,4,,1,7,YES,NO,95.00,100,3.50,NO ,,3300,3,NO ,100,450,200,50,500,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1100,NONE,60,YES,UNIMPROVED,150,100,MED,,,NONE,480,,900,120,5
